mile_marker,latitude,longitude,elevation_m,elevation_ft
0,34.6267694,-84.1938787,1146.0,3760
50,34.80467470215447,-83.74612235349068,1069.0,3507
100,35.07970562895158,-83.5084521560492,1334.0,4377
150,35.37616344454822,-83.75394919772074,1128.0,3701
200,35.60484468057445,-83.45120047242118,1665.0,5463
250,35.80164850083633,-82.94669920911879,1272.0,4173
300,36.03991809645777,-82.60474974513365,1129.0,3704
350,36.13558022445034,-82.29104475961954,1516.0,4974
400,36.22066904630368,-82.05111844602418,1042.0,3419
450,36.58155873347632,-81.88665645170124,1126.0,3694
500,36.69927968940119,-81.51301148498625,1173.0,3849
550,37.01101686669181,-81.41813234948,771.0,2530
600,37.20035434412972,-80.87787785071144,757.0,2484
650,37.41661945557164,-80.50310650990141,1245.0,4085
700,37.39112919610374,-80.0226570645376,728.0,2389
750,37.51111542892165,-79.55572067446576,940.0,3084
800,37.77118286889423,-79.18381607860528,1097.0,3599
850,38.060553385351895,-78.81441528428621,785.0,2576
900,38.442680800917984,-78.47478470302725,1031.0,3383
950,38.850327025930966,-78.1627691975868,605.0,1985
1000,39.2646832061288,-77.76046668662808,289.0,948
1050,39.75939787934859,-77.48928055758812,409.0,1342
1100,40.1376419275552,-77.11556345449779,157.0,515
1150,40.47053029139605,-76.67381521104333,434.0,1424
1200,40.58776537046384,-75.9576625157935,360.0,1181
1250,40.83352208154493,-75.3713610176376,455.0,1493
1300,41.19538915773809,-74.75915225922377,427.0,1401
1350,41.27395592231544,-74.22062800598982,322.0,1056
1400,41.517050005093736,-73.7785570427337,260.0,853
1450,41.84846066992037,-73.38269028633314,266.0,873
1500,42.204901075040524,-73.27125328867399,516.0,1693
1550,42.62195967212127,-73.18627534906311,952.0,3124
1600,43.08556620315931,-72.92484032673089,1201.0,3940
1650,43.56265167939847,-72.85182659045695,600.0,1969
1700,43.716062805237016,-72.35206115936188,391.0,1283
1750,44.01955624326356,-71.8372501100774,1389.0,4557
1800,44.23163655610128,-71.3554950431366,1254.0,4114
1850,44.48732522216903,-71.0111291881436,1018.0,3340
1900,44.85638751594249,-70.58864831837685,733.0,2405
1950,45.15182025726157,-70.16732004145769,466.0,1529
2000,45.31267444358826,-69.54537190429274,389.0,1276
2050,45.623265341333024,-69.12204107668649,384.0,1260
2100,45.87653330053345,-69.03452237966401,326.0,1070
