distance_miles,latitude,longitude,elevation_m
0.0,34.626769,-84.193879,1146.0
1.92,34.654496,-84.196007,874.0
4.07,34.664541,-84.160083,960.0
5.5,34.66338,-84.134943,932.0
7.33,34.654398,-84.104632,843.0
8.68,34.658578,-84.081377,908.0
10.93,34.655136,-84.041852,902.0
12.42,34.669885,-84.022825,991.0
13.57,34.673443,-84.003056,1036.0
14.96,34.691628,-83.992576,1120.0
16.6,34.713763,-83.982047,998.0
18.12,34.72939,-83.963032,1066.0
19.66,34.740967,-83.93992,1309.0
20.2,34.737667,-83.931181,1169.0
22.5,34.72564,-83.893308,1082.0
23.99,34.726587,-83.867175,1086.0
25.15,34.72611,-83.846736,969.0
26.3,34.735509,-83.829811,1106.0
27.84,34.757733,-83.829462,1022.0
29.4,34.779408,-83.821721,1003.0
30.95,34.799226,-83.808558,1085.0
32.53,34.820548,-83.798618,1080.0
34.39,34.816177,-83.766243,1198.0
36.12,34.802291,-83.740781,947.0
37.73,34.793061,-83.714704,987.0
39.27,34.799422,-83.688573,1229.0
40.81,34.809706,-83.664562,1126.0
43.16,34.843614,-83.661081,1097.0
44.63,34.864476,-83.655662,1044.0
46.32,34.887906,-83.646544,1118.0
48.52,34.910263,-83.619045,837.0
49.91,34.91699,-83.595895,891.0
51.61,34.94162,-83.596954,1068.0
52.78,34.958652,-83.596253,948.0
54.56,34.984331,-83.597488,1125.0
56.44,35.008792,-83.582625,1295.0
59.49,35.042307,-83.547507,1451.0
61.83,35.015696,-83.521739,1471.0
63.24,35.002592,-83.502574,1366.0
65.9,35.03278,-83.473369,1370.0
69.95,35.082454,-83.511559,1365.0
73.72,35.12228,-83.557231,1258.0
75.63,35.14403,-83.578097,1507.0
76.6,35.158097,-83.577439,1335.0
77.82,35.17529,-83.582956,1619.0
79.14,35.183612,-83.562026,1513.0
82.64,35.234383,-83.559411,1556.0
86.19,35.282466,-83.581628,1260.0
89.25,35.325901,-83.59254,594.0
90.85,35.342882,-83.611819,891.0
95.27,35.326223,-83.687677,1407.0
97.87,35.353396,-83.71982,1038.0
100.95,35.385401,-83.75801,1094.0
102.93,35.412362,-83.769656,957.0
103.5,35.417939,-83.777288,1058.0
104.44,35.423663,-83.792408,1103.0
104.99,35.429482,-83.799069,959.0
105.43,35.435883,-83.799224,722.0
106.23,35.444761,-83.790085,582.0
106.58,35.448395,-83.794351,540.0
109.44,35.48605,-83.815874,1122.0
115.07,35.560215,-83.774293,1290.0
120.67,35.570163,-83.675272,1463.0
126.86,35.566198,-83.565143,1678.0
131.83,35.58002,-83.478269,1777.0
134.57,35.610838,-83.447235,1668.0
136.59,35.617961,-83.412349,1693.0
139.96,35.644284,-83.361832,1564.0
142.93,35.652923,-83.309888,1702.0
150.36,35.724456,-83.210825,1459.0
156.06,35.771185,-83.126956,859.0
157.5,35.781471,-83.104521,560.0
159.19,35.784726,-83.074605,986.0
161.9,35.783519,-83.026146,937.0
164.64,35.783592,-82.977335,1307.0
166.46,35.799329,-82.95116,1354.0
167.41,35.812598,-82.94675,1186.0
168.8,35.830912,-82.936532,1204.0
169.74,35.837282,-82.921527,1247.0
171.14,35.848872,-82.900963,1170.0
172.64,35.854045,-82.87501,764.0
173.63,35.868326,-82.876513,828.0
175.44,35.884686,-82.851216,776.0
177.22,35.887922,-82.819609,449.0
179.03,35.895658,-82.788608,748.0
180.4,35.91413,-82.797506,868.0
182.01,35.93645,-82.805871,915.0
183.94,35.959052,-82.785451,999.0
185.66,35.983925,-82.785245,766.0
187.32,36.001147,-82.764537,925.0
189.49,36.017316,-82.731169,1203.0
190.83,36.02786,-82.71094,1365.0
192.78,36.045623,-82.683695,1321.0
194.81,36.057785,-82.650713,1326.0
196.08,36.063105,-82.628791,1427.0
198.22,36.039864,-82.603364,1120.0
199.78,36.017507,-82.60689,1003.0
201.31,35.99532,-82.606312,1150.0
202.47,35.978651,-82.609246,1371.0
203.45,35.965412,-82.60313,1211.0
205.16,35.958091,-82.573878,1298.0
207.13,35.968801,-82.541088,1275.0
209.27,35.979086,-82.50487,1509.0
210.97,35.996195,-82.483114,1629.0
213.08,36.012241,-82.450858,1398.0
214.9,36.027749,-82.424634,1131.0
216.73,36.052898,-82.435422,1028.0
218.25,36.071654,-82.44952,1016.0
220.02,36.097345,-82.450134,769.0
221.68,36.107338,-82.423143,608.0
223.93,36.107214,-82.382637,993.0
225.15,36.110307,-82.361194,1030.0
226.96,36.117318,-82.329927,1336.0
228.29,36.126719,-82.308955,1380.0
229.95,36.130388,-82.279644,1272.0
232.05,36.136714,-82.24265,1185.0
234.89,36.149594,-82.194239,1302.0
237.7,36.141945,-82.1448,1282.0
240.49,36.104782,-82.124801,1859.0
242.93,36.107232,-82.081255,1753.0
245.2,36.125279,-82.047103,1474.0
