mile_marker,latitude,longitude,elevation_m,elevation_ft
0,37.00111628,-112.03499079,1521.0,4990
25,36.74830706544124,-112.18115096840047,2327.0,7635
50,36.48767156102128,-112.12080143465798,2685.0,8809
75,36.22074348551872,-112.06112592437673,2463.0,8081
100,36.017496385907705,-112.12533190642895,2079.0,6821
125,35.900769395769245,-111.88813229899488,2222.0,7290
150,35.63071322643019,-111.81567797900256,1961.0,6434
175,35.3841134778783,-111.71692371,2525.0,8285
200,35.2511522377753,-111.56422587014404,2123.0,6966
225,35.112490776009906,-111.54718762248166,2189.0,7182
250,34.905200317864185,-111.48008050742622,2291.0,7517
275,34.70743586132144,-111.29005720607756,2125.0,6972
300,34.48192519406816,-111.23631075317785,2156.0,7074
325,34.353090202387435,-111.4740902064212,1594.0,5230
350,34.18968400987847,-111.54176698490052,1643.0,5391
375,34.015454543508724,-111.49577651562085,1947.0,6388
400,33.83398252571473,-111.41718110056976,1192.0,3911
425,33.66182692820201,-111.25807725130886,1372.0,4502
450,33.520476619658886,-111.12591693849704,1435.0,4708
475,33.29938279063992,-111.16733038860473,803.0,2635
500,33.105933744568866,-111.11715408848517,521.0,1709
525,33.00343993214393,-110.99902184252554,1011.0,3317
550,32.80455351026206,-110.79125450730842,899.0,2950
575,32.58007864217696,-110.72428135758264,1380.0,4528
600,32.37567290490027,-110.79873503544316,1291.0,4236
625,32.25530700999451,-110.54274248560478,1621.0,5319
650,32.06330411244169,-110.62421111525012,1085.0,3560
675,31.870100113742307,-110.70565847688994,1388.0,4554
700,31.68206939171609,-110.79862338179294,1754.0,5755
725,31.52674285737769,-110.64375646215836,1414.0,4639
750,31.442404669641665,-110.398501183395,1811.0,5942
