name,latitude,longitude
Miller Peak,31.39360763743728,-110.29279693466155
Patagonia,31.542575270556735,-110.7505007889427
I-10 The Snake,31.996772407636023,-110.65306636534845
Collosal Cave,32.06232094262573,-110.6344087646704
Grass Shack CG,32.18494816834456,-110.59240649909154
Mica Mountain,32.219759232970844,-110.54302897453672
Redington Pass TH,32.306582046139404,-110.60953076811303
Summerhaven,32.44498113401139,-110.7601348308624
Oracle,32.612459592967205,-110.77181698366972
Kearny,33.06011415110566,-110.90867653479327
Superior,33.287010604066325,-111.10037412158731
Lake Roosevelt,33.6686673370043,-111.13686151173131
Sunflower,33.86449801561221,-111.4702352059213
Pine,34.38379125532072,-111.4625023288201
Mormon Lake,34.955141273718965,-111.4820512387706
Flagstaff,35.19197267368206,-111.64844519140821
Snowball,35.331683318628,-111.71089283433173
Babbitt Ranch,35.671308796881775,-111.81749376069502
South Rim,36.05148733689784,-112.12051282751185
Bright Angel CG,36.1021607765894,-112.0953641552973
Cottonwood CG,36.17017397616428,-112.04128690547947
North Rim,36.20908161578072,-112.05811471141573
Jacob Lake,36.71309896353419, -112.21653740199984
Northern Terminus,37.001280466733014,-112.03507093728078
