distance_miles,latitude,longitude,elevation_m
0.0,31.333673,-110.282757,1803.0
0.62,31.342192,-110.279217,1963.0
1.53,31.354315,-110.285203,2038.0
3.31,31.379507,-110.291383,2541.0
4.6,31.395149,-110.303507,2624.0
5.49,31.405106,-110.313034,2616.0
5.86,31.406929,-110.319021,2517.0
6.54,31.410341,-110.329814,2503.0
7.33,31.41901,-110.338569,2562.0
8.14,31.423774,-110.351207,2506.0
8.5,31.422894,-110.357237,2296.0
9.23,31.429031,-110.367322,2068.0
10.16,31.439352,-110.377471,1920.0
11.01,31.44609,-110.389445,1850.0
12.42,31.44418,-110.413413,1778.0
14.22,31.42058,-110.42644,1702.0
15.23,31.41959,-110.44354,1696.0
16.35,31.420405,-110.462401,1646.0
17.3,31.423731,-110.478044,1602.0
18.09,31.435103,-110.480232,1668.0
20.2,31.461647,-110.498106,1742.0
22.19,31.483254,-110.52038,1681.0
23.69,31.494584,-110.542181,1796.0
24.43,31.503661,-110.548747,1764.0
24.87,31.507952,-110.554347,1640.0
25.95,31.512737,-110.571856,1718.0
27.08,31.512607,-110.591003,1584.0
27.46,31.516798,-110.595283,1535.0
28.24,31.52117,-110.607498,1498.0
30.81,31.532435,-110.649147,1424.0
32.5,31.540117,-110.676398,1346.0
33.78,31.535676,-110.697534,1393.0
34.12,31.533573,-110.702877,1365.0
34.62,31.528916,-110.709314,1300.0
37.15,31.54135,-110.749733,1242.0
40.29,31.584535,-110.766692,1381.0
42.97,31.616807,-110.792098,1384.0
45.68,31.653242,-110.809479,1619.0
47.71,31.680579,-110.822225,1979.0
48.97,31.681609,-110.800874,1732.0
50.3,31.700127,-110.794888,1750.0
52.63,31.715573,-110.759431,1603.0
54.89,31.736734,-110.730225,1526.0
57.36,31.757843,-110.764314,1693.0
58.69,31.777048,-110.764219,1613.0
60.94,31.803734,-110.741921,1639.0
62.26,31.817157,-110.726073,1538.0
62.69,31.823337,-110.7247,1503.0
63.38,31.831684,-110.718219,1446.0
64.03,31.841125,-110.719206,1416.0
64.57,31.848872,-110.719292,1430.0
65.2,31.858056,-110.718799,1429.0
65.73,31.865416,-110.716417,1410.0
66.35,31.872067,-110.709271,1405.0
66.68,31.871166,-110.703671,1375.0
67.41,31.881745,-110.70322,1416.0
67.89,31.887989,-110.699744,1406.0
68.33,31.894341,-110.698886,1380.0
68.73,31.899104,-110.695217,1369.0
69.14,31.904318,-110.691719,1318.0
69.69,31.908267,-110.683458,1277.0
70.31,31.90891,-110.673029,1247.0
70.71,31.913717,-110.669081,1237.0
71.09,31.918995,-110.667171,1262.0
71.54,31.924617,-110.663416,1231.0
71.87,31.929038,-110.665562,1219.0
72.42,31.936162,-110.669918,1181.0
72.76,31.938651,-110.674832,1190.0
73.38,31.947556,-110.676184,1156.0
73.95,31.955838,-110.675561,1135.0
74.62,31.965516,-110.676613,1112.0
74.91,31.967082,-110.672042,1108.0
75.67,31.97077,-110.65974,1127.0
76.61,31.983836,-110.655289,1108.0
77.54,31.9972,-110.65279,1064.0
78.39,32.00853,-110.6473,1054.0
79.31,32.021091,-110.642087,1035.0
79.69,32.025468,-110.645993,1034.0
80.55,32.03598,-110.63786,1069.0
81.26,32.04596,-110.63496,1069.0
81.43,32.04827,-110.63436,1044.0
81.74,32.05186,-110.6311,1058.0
82.45,32.06168,-110.62734,1094.0
83.18,32.07059,-110.62058,1124.0
83.68,32.07784,-110.6205,1090.0
84.37,32.08578,-110.62745,1079.0
85.03,32.09531,-110.62599,1047.0
85.88,32.10705,-110.6305,1006.0
86.76,32.11902,-110.63562,970.0
87.52,32.12786,-110.64331,942.0
87.82,32.129753,-110.648074,945.0
88.69,32.141554,-110.652902,982.0
89.19,32.14664,-110.646658,1010.0
89.71,32.150888,-110.639427,1104.0
