mile_marker,latitude,longitude,elevation_m,elevation_ft
0,31.4970368,-108.2086635,1309.0,4295
50,32.01317529774086,-108.4838368627912,1454.0,4771
100,32.432911631595346,-108.52017091356824,1846.0,6057
150,32.76763913726384,-108.40957235113729,1687.0,5535
200,33.00714496429066,-108.1145652562198,1915.0,6283
250,33.34581161672491,-107.841295412099,2495.0,8186
300,33.67938508967259,-108.03718834532874,2387.0,7832
350,33.77606166911902,-108.4753156661482,2592.0,8504
400,34.2594159317855,-108.3830905543266,2205.0,7235
450,34.60928657471352,-108.34651764465976,2227.0,7307
500,34.956928811502046,-108.14316786607924,2336.0,7664
550,35.18362270511474,-107.79354300730613,2028.0,6654
600,35.552185022693855,-107.32524555155727,2460.0,8071
650,36.00551056556848,-106.98719162182772,2092.0,6864
700,36.3437857397816,-106.57824897666826,2460.0,8071
750,36.6468107221764,-106.19974981054416,2776.0,9108
800,37.01987387502948,-106.45279936427836,3052.0,10014
850,37.40553597585372,-106.65909290457849,3641.0,11946
900,37.60680843708622,-107.113847435211,3559.0,11677
950,37.77305456621927,-107.55571654905268,3723.0,12215
1000,37.96952473215298,-106.96156595499116,3767.0,12360
1050,38.31388690335598,-106.50640303114491,3551.0,11651
1100,38.60015695716052,-106.34789394585452,3561.0,11684
1150,38.99059236124223,-106.43058625903171,3172.0,10407
1200,39.35953117264737,-106.31876195967357,3212.0,10539
1250,39.52844263466084,-105.93240093954896,3294.0,10808
1300,39.75727267096617,-105.88127615575236,3852.0,12638
1350,40.08980527703606,-105.7367445814658,2816.0,9239
1400,40.34955190226663,-105.94046213779689,3272.0,10735
1450,40.40472841581712,-106.45664187740276,2655.0,8711
1500,40.72730651818532,-106.70756906247216,3008.0,9869
1550,41.17015989980695,-106.99054119280892,3102.0,10178
1600,41.4978445503836,-107.47678334208254,2245.0,7366
1650,41.99981268874227,-107.40699506148276,1988.0,6523
1700,42.385900285336405,-108.06878441445694,2265.0,7431
1750,42.46375825262237,-108.83374999697142,2465.0,8088
1800,42.78145966575398,-109.30170897790634,3068.0,10066
1850,43.20074078982554,-109.74680952375422,2565.0,8416
1900,43.629462997560495,-109.99618474789902,2755.0,9039
1950,44.03680937341582,-110.17328488492537,2481.0,8140
2000,44.33412549960961,-110.7212802435397,2438.0,7999
2050,44.54568243603754,-111.2283482333418,2156.0,7074
2100,44.6023522048394,-111.5218801485897,2203.0,7228
2150,44.52342760091957,-112.09668987572424,2593.0,8508
2200,44.47887060559064,-112.785542069069,2340.0,7678
2250,44.75786157877168,-113.13988979310363,3022.0,9915
2300,45.10726786644179,-113.5078173081968,2678.0,8787
2350,45.42922616755553,-113.7767218946356,2682.0,8800
2400,45.80306198080377,-113.76706337770776,2565.0,8416
2450,46.04674012061245,-113.29249279130477,2556.0,8386
2500,45.88537706631889,-112.73528371924778,1959.0,6427
2550,45.994604878667545,-112.443334785509,2327.0,7635
2600,46.31067455321487,-112.56474634384293,2467.0,8094
2650,46.64403966975148,-112.30722546886255,1806.0,5925
2700,46.98870473313448,-112.3333432684328,2041.0,6697
2750,47.351244860340906,-112.75022051048072,2033.0,6670
2800,47.7277808113705,-113.07025528828918,1798.0,5899
2850,48.12891676755363,-113.03542308035352,1919.0,6296
2900,48.44381481249275,-113.23466410974804,1501.0,4925
2950,48.66882266288558,-113.62016054202805,1417.0,4649
