mile_marker,latitude,longitude,elevation_m,elevation_ft
0,48.998693,-113.906121,1291.0,4236
50,48.66941143084962,-113.61801648290717,1425.0,4675
100,48.443544200273706,-113.23703828366814,1511.0,4958
150,48.12757750921124,-113.03414815823864,1913.0,6277
200,47.72698260694352,-113.07221588134256,1813.0,5948
250,47.34992916940716,-112.74947129870786,1985.0,6513
300,46.98844443213163,-112.3351445073234,2003.0,6572
350,46.643106203014256,-112.30548169657662,1797.0,5896
400,46.30926325120454,-112.565773313136,2460.0,8071
450,45.99332087387577,-112.44391289997328,2322.0,7618
500,45.88695692790157,-112.73562574721625,1964.0,6444
550,46.046042171431296,-113.29442051204217,2555.0,8383
600,45.802067399477785,-113.76808276183306,2545.0,8350
650,45.428688664340775,-113.77466203607932,2692.0,8832
700,45.105900498200384,-113.5089547956007,2670.0,8760
750,44.75660914520757,-113.13850394235976,2983.0,9787
800,44.48023949780431,-112.78439556393928,2348.0,7704
850,44.52499840862188,-112.09620716481108,2576.0,8452
900,44.60383936134629,-111.52272179898428,2218.0,7277
950,44.5441307949427,-111.22795963327216,2184.0,7166
1000,44.33502321353313,-110.71954594839534,2436.0,7993
1050,44.035796464957535,-110.1719736220793,2484.0,8150
1100,43.62946064974156,-109.99835786901345,2765.0,9072
1150,43.19948254039124,-109.74568061290512,2542.0,8340
1200,42.78001401288267,-109.30110727065632,3058.0,10033
1250,42.46416381787349,-108.83185000378188,2464.0,8084
1300,42.38521263626979,-108.06686391308804,2276.0,7468
1350,41.99873956723465,-107.40538776579288,1988.0,6523
1400,41.49627526746736,-107.47725652641266,2243.0,7359
1450,41.17002547837738,-106.98848003652137,3101.0,10174
1500,40.72694854228989,-106.70559135893674,3024.0,9922
1550,40.40312783753677,-106.456501059614,2663.0,8737
1600,40.34795947038437,-105.94015664299104,3243.0,10640
1650,40.08844369793987,-105.73565313221638,2816.0,9239
1700,39.75600725385731,-105.88222370247664,3834.0,12579
1750,39.530008242090304,-105.93269261030744,3320.0,10893
1800,39.35843049687812,-106.31982032406286,3212.0,10539
1850,38.99052038559743,-106.43251079611308,3207.0,10522
1900,38.59918408298828,-106.346443396014,3580.0,11746
1950,38.31420036572362,-106.5078873473376,3524.0,11562
2000,37.97057268234614,-106.9631049253429,3772.0,12376
2050,37.77175140505321,-107.5565077776032,3737.0,12261
2100,37.60784342093402,-107.11240828483643,3586.0,11766
2150,37.40425200132116,-106.65923376890876,3659.0,12005
2200,37.01885155450178,-106.452258604842,3066.0,10060
2250,36.64621487815064,-106.19794450135356,2765.0,9072
2300,36.34372018794624,-106.58014356614343,2459.0,8068
2350,36.00404910163078,-106.98802489761488,2091.0,6861
2400,35.55157710759729,-107.32706776997344,2458.0,8065
2450,35.1830296450313,-107.7953668446022,2025.0,6644
2500,34.955702998451365,-108.14439801971614,2333.0,7655
2550,34.609281496758435,-108.34846617877068,2229.0,7313
2600,34.25814308820053,-108.38428019070798,2211.0,7254
2650,33.774787333381,-108.47480767366486,2554.0,8380
2700,33.68035704125534,-108.0356511516021,2381.0,7812
2750,33.34468174675776,-107.84261256271972,2474.0,8117
2800,33.00618578936175,-108.11582028651256,1917.0,6290
2850,32.768019845289004,-108.41142578645672,1678.0,5506
2900,32.43155596025165,-108.5210596285106,1830.0,6004
2950,32.012392087824054,-108.48233587870094,1463.0,4800
