distance_miles,latitude,longitude,elevation_m
0.0,31.497037,-108.208664,1309.0
4.44,31.521589,-108.278352,1394.0
7.58,31.559547,-108.30801,1516.0
10.17,31.588604,-108.335722,1564.0
13.99,31.642997,-108.348193,1486.0
25.22,31.790668,-108.42869,1440.0
27.76,31.827135,-108.43391,1516.0
29.74,31.852169,-108.417493,1454.0
34.36,31.918846,-108.409449,1423.0
42.18,32.012951,-108.483706,1454.0
51.45,32.120561,-108.578644,1329.0
62.33,32.224579,-108.718636,1463.0
69.63,32.330294,-108.72164,1334.0
81.76,32.41091,-108.536663,1697.0
84.26,32.441136,-108.513173,1882.0
86.54,32.46953,-108.492994,1906.0
89.29,32.508651,-108.484178,1888.0
92.39,32.543963,-108.451286,1984.0
94.14,32.562118,-108.430133,2159.0
96.79,32.600192,-108.435756,2185.0
103.24,32.669553,-108.510151,1947.0
107.34,32.720474,-108.546562,1894.0
111.08,32.76681,-108.513212,1583.0
117.9,32.766224,-108.395668,1724.0
124.4,32.797073,-108.289818,1830.0
127.69,32.824406,-108.336317,2022.0
129.42,32.845262,-108.319683,2003.0
133.05,32.882142,-108.275019,1994.0
135.02,32.884179,-108.241154,2147.0
136.1,32.890379,-108.224104,2165.0
136.96,32.887843,-108.209497,2293.0
138.11,32.883665,-108.190294,2335.0
140.61,32.911519,-108.162678,2715.0
144.59,32.967298,-108.145392,2258.0
147.3,33.000157,-108.119832,1998.0
149.51,33.030308,-108.106867,1918.0
155.67,33.103511,-108.045944,2314.0
158.79,33.124709,-107.998274,2481.0
160.51,33.114752,-107.970939,2636.0
163.7,33.15967,-107.957703,2225.0
167.66,33.164062,-107.889423,2494.0
171.25,33.211366,-107.863378,2830.0
173.27,33.235479,-107.843481,2857.0
175.58,33.266392,-107.828291,2720.0
178.11,33.302829,-107.823436,2697.0
179.34,33.31984,-107.830168,2423.0
180.54,33.334237,-107.841785,2517.0
183.11,33.367464,-107.821846,2552.0
185.62,33.395947,-107.84893,2471.0
187.77,33.425053,-107.862502,2492.0
190.1,33.458717,-107.861739,2371.0
192.81,33.491979,-107.836718,2428.0
195.22,33.521323,-107.813742,2461.0
198.01,33.561589,-107.810741,2441.0
202.57,33.627716,-107.811312,2306.0
205.61,33.670131,-107.825498,2349.0
214.98,33.699921,-107.984653,2323.0
222.5,33.674446,-108.112032,2696.0
228.02,33.695816,-108.204706,2397.0
230.28,33.686584,-108.242515,2230.0
234.67,33.639385,-108.293764,2441.0
237.88,33.607776,-108.334722,2673.0
246.7,33.667695,-108.470293,2433.0
255.68,33.797903,-108.47073,2514.0
261.1,33.875456,-108.456348,2319.0
271.9,34.021071,-108.386928,2571.0
279.89,34.135109,-108.362461,2374.0
294.05,34.304841,-108.223326,2250.0
303.15,34.4347,-108.251199,2283.0
311.77,34.511762,-108.370462,2171.0
333.72,34.693193,-108.05326,2168.0
348.58,34.858798,-108.220613,2413.0
361.37,35.000479,-108.07487,2390.0
368.79,34.946184,-107.961669,2146.0
372.42,34.937306,-107.898293,2083.0
375.29,34.909916,-107.860271,2086.0
387.07,35.071152,-107.791763,1956.0
395.48,35.190677,-107.76286,2189.0
400.01,35.191,-107.682358,2526.0
405.15,35.254248,-107.634266,2870.0
409.25,35.296005,-107.582672,2690.0
412.89,35.346197,-107.56243,2508.0
424.48,35.467455,-107.419923,2507.0
432.56,35.552842,-107.3217,2459.0
437.73,35.586134,-107.239156,1931.0
447.68,35.69588,-107.124042,2048.0
457.49,35.812961,-107.024823,2118.0
467.42,35.956771,-107.019208,2070.0
477.66,36.082667,-106.922096,2322.0
481.33,36.103568,-106.861601,3126.0
487.53,36.176659,-106.796751,2608.0
495.41,36.245732,-106.68412,2625.0
503.42,36.346742,-106.613307,2236.0
508.43,36.379789,-106.532854,2412.0
515.56,36.404748,-106.40845,2357.0
522.73,36.47948,-106.318633,2893.0
529.63,36.57932,-106.324896,3171.0
537.12,36.62619,-106.202868,2625.0
542.44,36.697813,-106.238067,3002.0
550.87,36.818192,-106.264207,3118.0
557.03,36.887952,-106.333824,3285.0
