mile_marker,latitude,longitude,elevation_m,elevation_ft
0,37.3313829,-107.9030847,2137.0,7011
25,37.4862505727854,-108.03528375742358,3663.0,12018
50,37.709126733501385,-107.93810675663188,3496.0,11470
75,37.73987515606391,-107.68156761345062,3119.0,10233
100,37.84599680403333,-107.48815959761929,3795.0,12451
125,37.9379047308178,-107.17134904801684,3404.0,11169
150,37.993684642889534,-106.83162321071308,3203.0,10509
175,38.1796500535786,-106.60453221972242,3061.0,10043
200,38.287456462839856,-106.3833031243304,3576.0,11733
225,38.4840152383739,-106.2776421095946,3190.0,10466
250,38.70705899227338,-106.19456346783647,2758.0,9049
275,38.88033242453775,-106.2375133985776,3034.0,9955
300,39.075318553800685,-106.30386922225678,2807.0,9210
325,39.28746195317269,-106.43949174382124,3171.0,10404
350,39.42909803163609,-106.22615365750777,3671.0,12045
375,39.54084561846035,-106.0524290243518,2894.0,9495
400,39.43041885721941,-105.8660712522572,3230.0,10598
425,39.33836464506852,-105.57479978268864,3274.0,10742
450,39.34902550813855,-105.2561082042928,2374.0,7789
475,39.485300025041056,-105.11799971860012,1731.0,5679
