mile_marker,latitude,longitude,elevation_m,elevation_ft
0,39.4909904,-105.0936553,1676.0,5499
25,39.36201977148401,-105.23861271491428,2295.0,7530
50,39.32469963014808,-105.55141696537108,3181.0,10437
75,39.4296061188971,-105.843017188687,3068.0,10066
100,39.54167195312498,-106.03467267270844,2827.0,9275
125,39.442193124559765,-106.22167279706636,3640.0,11943
150,39.29541835036723,-106.42741782626948,3436.0,11274
175,39.09199518804006,-106.3199773153916,2823.0,9262
200,38.89968442371353,-106.24049550479958,3194.0,10480
225,38.71879323667186,-106.19218047763722,2548.0,8360
250,38.50533853314432,-106.26963371953084,3037.0,9964
275,38.300662829198586,-106.36523838691804,3417.0,11211
300,38.20103633028243,-106.60407455549766,3085.0,10122
325,38.014395460664986,-106.8297612292062,3155.0,10352
350,37.9397280266284,-107.146405751198,3501.0,11487
375,37.84364844670127,-107.46657228974492,3894.0,12776
400,37.73959663855986,-107.66721087490112,2994.0,9823
425,37.71162492977228,-107.91592624692126,3516.0,11536
450,37.50510678933855,-108.0382503609837,3537.0,11605
475,37.34370032106576,-107.9249741185494,2258.0,7408
