distance_miles,latitude,longitude,elevation_m
0.0,37.331383,-107.903085,2137.0
0.97,37.336609,-107.91945,2203.0
1.89,37.348228,-107.92791,2273.0
2.24,37.353066,-107.929327,2377.0
2.37,37.354568,-107.930903,2458.0
2.67,37.353061,-107.935978,2468.0
3.0,37.354885,-107.941625,2532.0
3.5,37.356896,-107.950294,2605.0
3.97,37.354881,-107.958559,2644.0
4.6,37.353836,-107.969917,2646.0
5.04,37.359089,-107.974594,2674.0
5.56,37.363821,-107.967347,2754.0
5.98,37.369242,-107.963857,2759.0
6.53,37.377128,-107.962866,2851.0
7.57,37.390766,-107.971087,2926.0
8.21,37.399525,-107.967091,2769.0
8.87,37.408449,-107.971503,2706.0
10.1,37.426125,-107.973535,2719.0
10.96,37.438462,-107.971172,2874.0
11.88,37.450712,-107.978048,3107.0
12.59,37.448692,-107.990729,3376.0
14.09,37.45428,-108.017204,3552.0
14.91,37.458498,-108.031182,3609.0
15.2,37.459979,-108.036154,3721.0
15.62,37.465736,-108.033785,3733.0
15.85,37.4688,-108.035136,3672.0
16.26,37.474755,-108.035538,3679.0
16.69,37.480933,-108.033668,3613.0
16.95,37.484612,-108.033754,3666.0
17.33,37.489605,-108.036515,3604.0
17.73,37.495322,-108.035074,3609.0
18.2,37.501996,-108.036648,3593.0
18.55,37.50702,-108.035684,3517.0
19.52,37.521116,-108.033906,3515.0
20.25,37.531578,-108.034529,3532.0
20.4,37.532758,-108.032165,3452.0
20.63,37.53476,-108.028801,3379.0
21.43,37.544767,-108.021281,3280.0
21.86,37.550594,-108.018597,3283.0
22.41,37.558514,-108.017171,3300.0
23.09,37.5681,-108.019995,3324.0
24.01,37.581267,-108.018271,3320.0
24.56,37.588986,-108.02118,3306.0
25.0,37.593174,-108.015197,3277.0
25.71,37.603348,-108.013616,3298.0
26.44,37.609961,-108.003125,3284.0
27.01,37.615036,-107.994763,3334.0
28.0,37.62633,-107.983689,3340.0
28.59,37.629332,-107.973622,3340.0
28.97,37.634803,-107.974612,3297.0
29.19,37.637019,-107.971629,3236.0
29.76,37.64155,-107.963022,3167.0
30.14,37.646382,-107.959641,3156.0
30.5,37.651563,-107.958876,3204.0
31.22,37.66182,-107.961696,3270.0
31.82,37.665769,-107.971471,3277.0
32.3,37.67244,-107.97365,3314.0
32.53,37.673366,-107.977746,3427.0
32.98,37.679801,-107.977525,3520.0
33.25,37.683139,-107.980364,3603.0
33.38,37.684858,-107.981203,3641.0
33.56,37.687236,-107.979723,3578.0
33.78,37.687386,-107.975702,3514.0
34.15,37.691185,-107.970961,3490.0
34.66,37.698258,-107.968244,3549.0
35.06,37.701211,-107.962046,3530.0
35.39,37.705642,-107.959512,3572.0
35.84,37.706266,-107.951277,3566.0
36.22,37.706192,-107.944344,3542.0
36.7,37.71021,-107.937137,3481.0
37.47,37.715266,-107.924641,3513.0
37.77,37.712832,-107.92008,3488.0
38.18,37.711946,-107.912588,3515.0
38.49,37.710369,-107.90725,3443.0
38.9,37.714076,-107.901571,3400.0
39.67,37.717557,-107.88811,3477.0
40.25,37.713514,-107.878753,3587.0
40.62,37.715189,-107.872279,3566.0
41.09,37.718046,-107.864503,3526.0
41.87,37.729328,-107.865826,3414.0
42.12,37.729688,-107.861289,3418.0
42.74,37.734898,-107.852044,3396.0
43.6,37.74688,-107.847777,3323.0
44.04,37.740803,-107.845483,3331.0
44.55,37.741717,-107.836203,3510.0
44.86,37.74351,-107.83089,3532.0
