track_name,latitude,longitude,color
CT,37.3313829,-107.9030847,#00AA00
CT,37.3314625,-107.9031553,#00AA00
CT,37.3315874,-107.903206,#00AA00
CT,37.3316905,-107.9033852,#00AA00
CT,37.3318136,-107.9037472,#00AA00
CT,37.3318697,-107.9040114,#00AA00
CT,37.3319186,-107.9041671,#00AA00
CT,37.3321249,-107.9044205,#00AA00
CT,37.332429,-107.9047625,#00AA00
CT,37.3324723,-107.9048245,#00AA00
CT,37.3325122,-107.9049291,#00AA00
CT,37.3325919,-107.9050276,#00AA00
CT,37.3326478,-107.9050843,#00AA00
CT,37.332724,-107.9051698,#00AA00
CT,37.3328181,-107.9053653,#00AA00
CT,37.3328706,-107.9055028,#00AA00
CT,37.3329321,-107.9056024,#00AA00
CT,37.3330009,-107.9057671,#00AA00
CT,37.3331186,-107.9058756,#00AA00
CT,37.3333394,-107.9060404,#00AA00
CT,37.3334643,-107.9061019,#00AA00
CT,37.3335367,-107.9063118,#00AA00
CT,37.3336272,-107.9065037,#00AA00
CT,37.3336507,-107.906739,#00AA00
CT,37.3337086,-107.907215,#00AA00
CT,37.3337928,-107.907692,#00AA00
CT,37.3339222,-107.9080222,#00AA00
CT,37.3339529,-107.9082828,#00AA00
CT,37.3340507,-107.9086068,#00AA00
CT,37.3340699,-107.9087845,#00AA00
CT,37.3340362,-107.9090104,#00AA00
CT,37.3340522,-107.9091195,#00AA00
CT,37.3340936,-107.9092316,#00AA00
CT,37.3341618,-107.9093235,#00AA00
CT,37.3343345,-107.9095888,#00AA00
CT,37.3344228,-107.9097964,#00AA00
CT,37.3345231,-107.9101254,#00AA00
CT,37.3345701,-107.9104204,#00AA00
CT,37.3346136,-107.9107914,#00AA00
CT,37.3347059,-107.9110665,#00AA00
CT,37.3348398,-107.9114068,#00AA00
CT,37.3349556,-107.9117253,#00AA00
CT,37.3350914,-107.9119679,#00AA00
CT,37.3352145,-107.9121615,#00AA00
CT,37.3352851,-107.9124113,#00AA00
CT,37.3353212,-107.9125163,#00AA00
CT,37.335374,-107.9127404,#00AA00
CT,37.3354009,-107.9129742,#00AA00
CT,37.3354244,-107.9132782,#00AA00
CT,37.3354986,-107.9135552,#00AA00
CT,37.3355155,-107.9137083,#00AA00
CT,37.3354841,-107.9139298,#00AA00
CT,37.3354407,-107.9141705,#00AA00
CT,37.335419,-107.9144167,#00AA00
CT,37.3353828,-107.914556,#00AA00
CT,37.3354498,-107.9147732,#00AA00
CT,37.3354226,-107.9149253,#00AA00
CT,37.335428,-107.9152094,#00AA00
CT,37.3354498,-107.9153904,#00AA00
CT,37.3355258,-107.9156058,#00AA00
CT,37.3356543,-107.9158447,#00AA00
CT,37.3357304,-107.9158609,#00AA00
CT,37.3358305,-107.9159448,#00AA00
CT,37.3359448,-107.9160167,#00AA00
CT,37.3359639,-107.9161066,#00AA00
CT,37.3359982,-107.9161814,#00AA00
CT,37.3360543,-107.9163298,#00AA00
CT,37.3360669,-107.9164293,#00AA00
CT,37.3360283,-107.9168357,#00AA00
CT,37.3360556,-107.9171431,#00AA00
CT,37.3361104,-107.9174972,#00AA00
CT,37.336114,-107.9178103,#00AA00
CT,37.3361864,-107.9184438,#00AA00
CT,37.3361922,-107.9187707,#00AA00
CT,37.3363759,-107.9191127,#00AA00
CT,37.3364941,-107.9193324,#00AA00
CT,37.3366091,-107.9194501,#00AA00
CT,37.3366802,-107.9194501,#00AA00
CT,37.3367607,-107.9194782,#00AA00
CT,37.3369031,-107.9194338,#00AA00
CT,37.3370319,-107.9194909,#00AA00
CT,37.337107,-107.919606,#00AA00
CT,37.337385,-107.9198964,#00AA00
CT,37.3377148,-107.9199438,#00AA00
CT,37.3379981,-107.9201125,#00AA00
CT,37.3382018,-107.9201782,#00AA00
CT,37.3384072,-107.9202682,#00AA00
CT,37.3388076,-107.9205359,#00AA00
CT,37.3389619,-107.9207257,#00AA00
CT,37.3391217,-107.920879,#00AA00
CT,37.3392776,-107.9211256,#00AA00
CT,37.3394348,-107.9214422,#00AA00
CT,37.3397028,-107.9218867,#00AA00
CT,37.3398789,-107.9223012,#00AA00
CT,37.3399335,-107.9223914,#00AA00
CT,37.3400065,-107.9224526,#00AA00
CT,37.3402158,-107.9226489,#00AA00
CT,37.3404932,-107.9228445,#00AA00
CT,37.3407601,-107.9230627,#00AA00
CT,37.3409155,-107.923224,#00AA00
CT,37.3411698,-107.9234291,#00AA00
CT,37.3413646,-107.9236274,#00AA00
CT,37.3414485,-107.9236526,#00AA00
CT,37.3415058,-107.9236998,#00AA00
CT,37.3418075,-107.923992,#00AA00
CT,37.3422515,-107.9243586,#00AA00
CT,37.3424173,-107.924381,#00AA00
CT,37.342566,-107.9244484,#00AA00
CT,37.3426434,-107.9244684,#00AA00
CT,37.3427365,-107.9244998,#00AA00
CT,37.3428979,-107.9246069,#00AA00
CT,37.3430073,-107.9246123,#00AA00
