mile_marker,latitude,longitude,elevation_m,elevation_ft
0,32.589741150000066,-116.46698064499998,881.0,2891
50,32.92244454437474,-116.47380244222992,1641.0,5384
100,33.22891449509243,-116.59947941247098,1007.0,3304
150,33.58770735039728,-116.5705538494169,1578.0,5177
200,33.87751748845783,-116.67968632689018,529.0,1736
250,34.22289937663233,-116.74918142278754,2230.0,7317
300,34.34076115250673,-117.18365842651912,1107.0,3632
350,34.324874635272586,-117.61097637079445,2286.0,7500
400,34.38389081996728,-118.02644292388484,1989.0,6526
450,34.565718788818664,-118.32699443599414,1368.0,4488
500,34.75303924516237,-118.63795508060294,1081.0,3547
550,35.082897071581336,-118.30845618735252,1400.0,4593
600,35.45553576932136,-118.25564370560689,1871.0,6139
650,35.74039486272063,-118.017311136573,1733.0,5686
700,36.15906186288653,-118.1453581991168,2429.0,7970
750,36.5334422449984,-118.36333198063473,3232.0,10604
800,37.00205728671163,-118.45276640611786,3330.0,10926
850,37.26518270963138,-118.87753801827496,3087.0,10128
900,37.66825135019271,-119.07859540520042,2387.0,7832
950,38.013020347731135,-119.41346296160852,2597.0,8521
1000,38.29514737713693,-119.63773703457744,3220.0,10565
1050,38.610431850924144,-119.89185136351102,2383.0,7819
1100,38.98073542736134,-120.18399446627149,2470.0,8104
1150,39.40453988357224,-120.38510569013586,2392.0,7848
1200,39.68953446233211,-120.7019401809254,2236.0,7336
1250,39.875615644711466,-121.11953146550655,1720.0,5643
1300,40.19387987709396,-121.4388422996251,1963.0,6441
1350,40.56947032294419,-121.4563541017689,1746.0,5729
1400,41.009300453730354,-121.62524516560876,939.0,3081
1450,41.128301426662205,-122.02797437853408,1046.0,3432
1500,41.20948394524242,-122.41420434585952,1911.0,6270
1550,41.22573090146596,-122.7771822029216,2148.0,7048
1600,41.53654940967242,-123.1379417199253,2000.0,6562
1650,41.93273391002278,-123.15620393275134,1726.0,5663
1700,42.06007191516691,-122.59366920365764,1302.0,4272
1750,42.36991525118484,-122.30241046587489,1619.0,5312
1800,42.87249802673456,-122.17825175685115,1903.0,6244
1850,43.298699711451015,-122.00967540244444,1925.0,6316
1900,43.71544780442841,-121.99172580183468,1960.0,6431
1950,44.176244289170135,-121.81583913995792,2011.0,6598
2000,44.63537358497605,-121.81738971408583,1792.0,5880
2050,45.0935265084613,-121.73453740773527,1083.0,3553
2100,45.50830760886646,-121.868458057737,1222.0,4009
2150,45.80630384647976,-121.98466913934664,678.0,2225
2200,46.13247445789704,-121.6680920628137,1181.0,3875
2250,46.50479615113351,-121.46331190082712,2039.0,6690
2300,46.89833305637707,-121.49821783417414,1868.0,6129
2350,47.28687744483669,-121.37828514284487,1155.0,3790
2400,47.51450963805131,-121.20993773753332,959.0,3146
2450,47.84390048949184,-121.15230075335556,1651.0,5417
2500,48.16710721865522,-121.12050871979464,1754.0,5755
2550,48.45784999636764,-120.83698558767148,879.0,2884
2600,48.80111155448554,-120.72629914532128,1927.0,6322
