mile_marker,latitude,longitude,elevation_m,elevation_ft
0,49.00030170000008,-120.80210519999996,1287.0,4223
50,48.583588305316844,-120.73335493781688,1961.0,6434
100,48.19703522650248,-120.95131955003605,1700.0,5578
150,48.01605520398731,-121.12908753648648,1673.0,5489
200,47.64974321276582,-121.14264446501326,1609.0,5279
250,47.44591726006259,-121.38586686899671,1602.0,5256
300,47.09983643951687,-121.39753886302456,1463.0,4800
350,46.655902801408125,-121.41079346017268,1612.0,5289
400,46.27993888677121,-121.5066762758704,1631.0,5351
450,45.89330496651107,-121.78486965904423,1066.0,3498
500,45.65983671476567,-121.87114180368394,244.0,801
550,45.30818355164429,-121.68942806833444,1445.0,4741
600,44.79887613324888,-121.81290469881768,1641.0,5384
650,44.3531097857158,-121.86717070865124,1524.0,5000
700,43.929553444347306,-121.8971116835537,1581.0,5187
750,43.487177890453154,-122.13571167871868,1873.0,6145
800,43.02780550674756,-122.09524212469074,1863.0,6113
850,42.57867768399121,-122.227662067992,2034.0,6674
900,42.15665162129049,-122.48065488055288,1472.0,4830
950,41.996531899824255,-122.91167496537824,1776.0,5827
1000,41.71041942746035,-123.23784117398122,1169.0,3835
1050,41.30688326468502,-122.9739240078357,2085.0,6841
1100,41.33943024537068,-122.53329436202712,2106.0,6910
1150,41.14159171426223,-122.21023847617688,1338.0,4390
1200,41.1142238864628,-121.77559251182323,1587.0,5207
1250,40.77484433998102,-121.40005731090548,1501.0,4925
1300,40.32845631547848,-121.3669339978571,1834.0,6017
1350,40.00664118305566,-121.25390473018903,727.0,2385
1400,39.78453143584754,-120.9209269876134,1859.0,6099
1450,39.52522888298335,-120.56481648375038,1964.0,6444
1500,39.16974065602249,-120.26175609770075,2273.0,7458
1550,38.77011973541437,-120.04968574078892,2650.0,8695
1600,38.46185348599364,-119.72550627013698,2844.0,9331
1650,38.058548197945,-119.60806802552392,2559.0,8396
1700,37.79052375289587,-119.26166534772352,2747.0,9013
1750,37.45611923006645,-118.91888875402051,3171.0,10404
1800,37.116030081294575,-118.6390297993266,3205.0,10516
1850,36.74927244671162,-118.38778601591233,3077.0,10096
1900,36.36265357838446,-118.12820446346288,3256.0,10683
1950,35.870583298956106,-118.06456049862612,2246.0,7369
2000,35.567038424634205,-118.12353278713188,2124.0,6969
2050,35.241325017070665,-118.24737747471048,1599.0,5246
2100,34.89546291069496,-118.45133345272583,951.0,3120
2150,34.651206457833624,-118.4454494728774,1154.0,3786
2200,34.37914548410563,-118.2219813000788,1637.0,5371
2250,34.341431448008606,-117.81153236724369,2579.0,8462
2300,34.287983130406246,-117.37340436010568,1138.0,3734
2350,34.28523926564613,-116.92450650448276,2333.0,7655
2400,34.055568367051045,-116.67196479786696,1074.0,3524
2450,33.761113636667574,-116.66254317806246,2480.0,8137
2500,33.36886539208821,-116.60214004837042,1563.0,5128
2550,33.06653406793704,-116.47439448243306,921.0,3022
2600,32.695562349099966,-116.49568216143132,1034.0,3393
